source,target
in2,m12
in4,m12
in9,m13
in8,m13
in11,m14
in11,m14
in5,m15
in5,m15
in6,m16
m12,m16
m13,m17
m14,m17
m14,m18
in11,m18
m16,m19
in11,m19
in10,m20
m12,m20
m13,m21
m18,m21
m12,m22
m20,m22
m21,m23
m21,m23
m17,m24
m19,m24
m24,m25
m21,m25
m18,m26
m20,m26
m19,m27
m20,m27
m22,m28
m21,m28
m22,m29
m25,m29
m25,m30
m19,m30
m25,m31
m27,m31
m30,m32
m28,m32
m25,m33
m31,m33
m28,m34
m23,m34
m26,m35
m34,m35
m34,m36
m30,m36
m31,m37
m33,m37
m29,m38
m35,m38
m30,m39
m33,m39
m39,m40
m33,m40
m36,m41
m36,m41
m31,m42
m41,m42
m39,m43
m36,m43
m36,m44
m41,m44
m35,m45
m43,m45
m39,m46
m42,m46
m37,m47
m39,m47
m42,m48
m46,m48
m43,m49
m40,m49
m40,m50
m44,m50
m45,m51
m48,m51
m41,m52
m42,m52
m49,m53
m45,m53
m46,m54
m45,m54
m45,m55
m48,m55
m51,m56
m46,m56
m49,m57
m53,m57
m47,m58
m47,m58
m55,m59
m55,m59
m59,m60
m56,m60
m50,m61
m58,m61
m58,m62
m60,m62
m57,m63
m54,m63
m58,m64
m55,m64
m61,m65
m56,m65
m62,m66
m60,m66
m56,m67
m58,m67
m60,m68
m61,m68
m61,m69
m66,m69
m59,m70
m67,m70
m67,m71
m69,m71
m69,m72
m67,m72
m70,m73
m70,m73
m73,m74
m65,m74
m74,m75
m70,m75
m73,m76
m65,m76
m76,m77
m73,m77
m69,m78
m67,m78
m76,m79
m76,m79
m70,m80
m76,m80
m74,m81
m79,m81
m74,m82
m75,m82
m76,m83
m73,m83
m73,m84
m74,m84
m84,m85
m74,m85
m85,m86
m77,m86
m79,m87
m80,m87
m77,m88
m85,m88
m81,m89
m78,m89
m82,m90
m87,m90
m83,m91
m88,m91
m85,m92
m85,m92
m85,m93
m89,m93
m83,m94
m90,m94
m92,m95
m84,m95
m89,m96
m86,m96
m94,m97
m88,m97
m15,o98
m32,o99
m38,o100
m52,o101
m63,o102
m64,o103
m68,o104
m71,o105
m72,o106
m91,o107
m93,o108
m95,o109
m96,o110
m97,o111
