source,target
in14,m18
in13,m18
in6,m19
in6,m19
in5,m20
in9,m20
in15,m21
m18,m21
in6,m22
in12,m22
in17,m23
in7,m23
in14,m24
in17,m24
in16,m25
in12,m25
m18,m26
in14,m26
in15,m27
m19,m27
in14,m28
in17,m28
in14,m29
m20,m29
m29,m30
m28,m30
m27,m31
in16,m31
m30,m32
in15,m32
m27,m33
m24,m33
in17,m34
m28,m34
m22,m35
m31,m35
m26,m36
m23,m36
m21,m37
m32,m37
m34,m38
m29,m38
m31,m39
m36,m39
m34,m40
m29,m40
m34,m41
m34,m41
m35,m42
m41,m42
m39,m43
m37,m43
m32,m44
m31,m44
m29,m45
m40,m45
m38,m46
m31,m46
m37,m47
m34,m47
m41,m48
m40,m48
m44,m49
m44,m49
m45,m50
m38,m50
m37,m51
m49,m51
m42,m52
m51,m52
m38,m53
m42,m53
m37,m54
m37,m54
m52,m55
m52,m55
m50,m56
m49,m56
m43,m57
m53,m57
m42,m58
m45,m58
m45,m59
m58,m59
m54,m60
m52,m60
m58,m61
m44,m61
m50,m62
m58,m62
m58,m63
m47,m63
m60,m64
m56,m64
m51,m65
m53,m65
m54,m66
m53,m66
m56,m67
m56,m67
m52,m68
m51,m68
m66,m69
m55,m69
m61,m70
m61,m70
m60,m71
m55,m71
m55,m72
m71,m72
m66,m73
m56,m73
m61,m74
m60,m74
m65,m75
m66,m75
m63,m76
m63,m76
m63,m77
m71,m77
m61,m78
m73,m78
m71,m79
m68,m79
m78,m80
m73,m80
m73,m81
m67,m81
m78,m82
m67,m82
m77,m83
m81,m83
m70,m84
m75,m84
m68,m85
m84,m85
m82,m86
m69,m86
m83,m87
m77,m87
m77,m88
m78,m88
m80,m89
m79,m89
m88,m90
m87,m90
m75,m91
m87,m91
m87,m92
m79,m92
m76,m93
m85,m93
m83,m94
m91,m94
m91,m95
m93,m95
m95,m96
m90,m96
m92,m97
m87,m97
m85,m98
m95,m98
m90,m99
m87,m99
m97,m100
m84,m100
m95,m101
m87,m101
m97,m102
m92,m102
m88,m103
m102,m103
m94,m104
m93,m104
m99,m105
m98,m105
m95,m106
m96,m106
m91,m107
m95,m107
m107,m108
m107,m108
m97,m109
m106,m109
m98,m110
m108,m110
m107,m111
m100,m111
m106,m112
m104,m112
m100,m113
m105,m113
m98,m114
m112,m114
m100,m115
m99,m115
m112,m116
m115,m116
m109,m117
m105,m117
m103,m118
m104,m118
m107,m119
m110,m119
m115,m120
m110,m120
m116,m121
m112,m121
m114,m122
m111,m122
m109,m123
m110,m123
m107,m124
m109,m124
m108,m125
m109,m125
m109,m126
m110,m126
m117,m127
m111,m127
m120,m128
m124,m128
m120,m129
m128,m129
m121,m130
m119,m130
m125,m131
m118,m131
m117,m132
m116,m132
m116,m133
m131,m133
m123,m134
m128,m134
m127,m135
m121,m135
m123,m136
m134,m136
m125,m137
m124,m137
m137,m138
m127,m138
m136,m139
m131,m139
m138,m140
m130,m140
m136,m141
m132,m141
m131,m142
m134,m142
m141,m143
m141,m143
m131,m144
m133,m144
m137,m145
m132,m145
m138,m146
m141,m146
m144,m147
m132,m147
m147,m148
m135,m148
m135,m149
m146,m149
m138,m150
m137,m150
m150,m151
m146,m151
m151,m152
m136,m152
m141,m153
m149,m153
m141,m154
m140,m154
m143,m155
m153,m155
m146,m156
m150,m156
m150,m157
m141,m157
m151,m158
m153,m158
m153,m159
m143,m159
m155,m160
m152,m160
m158,m161
m146,m161
m161,m162
m151,m162
m148,m163
m153,m163
m25,o164
m33,o165
m46,o166
m48,o167
m57,o168
m59,o169
m62,o170
m64,o171
m72,o172
m74,o173
m86,o174
m89,o175
m101,o176
m113,o177
m122,o178
m126,o179
m129,o180
m139,o181
m142,o182
m145,o183
m154,o184
m156,o185
m157,o186
m159,o187
m160,o188
m162,o189
m163,o190
