source,target
in9,m26
in15,m26
in19,m27
in17,m27
in19,m28
in11,m28
in13,m29
in6,m29
in13,m30
in20,m30
m28,m31
in6,m31
in17,m32
in10,m32
in20,m33
m31,m33
in14,m34
in12,m34
in16,m35
in11,m35
in14,m36
m29,m36
in19,m37
m32,m37
in20,m38
in16,m38
m34,m39
m32,m39
m38,m40
in20,m40
in21,m41
m26,m41
m37,m42
m26,m42
in25,m43
m31,m43
in22,m44
m40,m44
m31,m45
m44,m45
m35,m46
m38,m46
m40,m47
m44,m47
in25,m48
m36,m48
m47,m49
m43,m49
m48,m50
m42,m50
m50,m51
m40,m51
m27,m52
m36,m52
m33,m53
m35,m53
m31,m54
m38,m54
m45,m55
m37,m55
m35,m56
m45,m56
m36,m57
m46,m57
m38,m58
m39,m58
m48,m59
m39,m59
m56,m60
m36,m60
m57,m61
m45,m61
m59,m62
m50,m62
m44,m63
m54,m63
m50,m64
m48,m64
m41,m65
m55,m65
m41,m66
m45,m66
m51,m67
m54,m67
m48,m68
m61,m68
m68,m69
m59,m69
m57,m70
m68,m70
m68,m71
m60,m71
m56,m72
m64,m72
m71,m73
m63,m73
m70,m74
m49,m74
m57,m75
m58,m75
m60,m76
m54,m76
m68,m77
m61,m77
m70,m78
m71,m78
m56,m79
m61,m79
m60,m80
m65,m80
m79,m81
m72,m81
m80,m82
m68,m82
m71,m83
m65,m83
m82,m84
m73,m84
m60,m85
m73,m85
m69,m86
m75,m86
m84,m87
m77,m87
m73,m88
m63,m88
m76,m89
m83,m89
m73,m90
m78,m90
m83,m91
m75,m91
m83,m92
m87,m92
m73,m93
m79,m93
m87,m94
m84,m94
m71,m95
m79,m95
m87,m96
m71,m96
m79,m97
m83,m97
m89,m98
m88,m98
m81,m99
m77,m99
m87,m100
m81,m100
m78,m101
m95,m101
m99,m102
m87,m102
m81,m103
m86,m103
m87,m104
m82,m104
m93,m105
m102,m105
m82,m106
m81,m106
m100,m107
m97,m107
m104,m108
m84,m108
m89,m109
m95,m109
m104,m110
m109,m110
m103,m111
m94,m111
m89,m112
m94,m112
m93,m113
m99,m113
m100,m114
m112,m114
m90,m115
m90,m115
m95,m116
m110,m116
m94,m117
m105,m117
m116,m118
m93,m118
m95,m119
m112,m119
m30,o120
m52,o121
m53,o122
m62,o123
m66,o124
m67,o125
m74,o126
m85,o127
m91,o128
m92,o129
m96,o130
m98,o131
m101,o132
m106,o133
m107,o134
m108,o135
m111,o136
m113,o137
m114,o138
m115,o139
m117,o140
m118,o141
m119,o142
