source,target
in2,m8
in1,m8
in3,m9
in5,m9
in3,m10
in6,m10
in6,m11
in5,m11
m9,m12
m8,m12
in6,m13
m10,m13
m8,m14
m8,m14
m9,m15
m11,m15
m13,m16
m12,m16
m13,m17
m15,m17
m17,m18
m13,m18
m15,m19
m14,m19
m18,m20
m14,m20
m16,m21
m18,m21
m15,m22
m19,m22
m20,m23
m21,m23
m21,m24
m17,m24
m18,m25
m19,m25
m22,m26
m19,m26
m25,m27
m20,m27
m21,m28
m24,m28
m25,m29
m25,m29
m27,m30
m23,m30
m24,m31
m29,m31
m26,m32
m31,m32
m29,m33
m31,m33
m33,m34
m31,m34
m34,m35
m28,m35
m30,m36
m32,m36
m30,m37
m30,m37
m36,m38
m35,m38
m36,m39
m35,m39
m34,m40
m39,m40
m37,m41
m39,m41
m36,m42
m39,m42
m40,m43
m36,m43
m38,o44
m41,o45
m42,o46
m43,o47
