source,target
in13,m25
in13,m25
in7,m26
in6,m26
in4,m27
in21,m27
in22,m28
in17,m28
in10,m29
in23,m29
in10,m30
in20,m30
in11,m31
in8,m31
m28,m32
in13,m32
in14,m33
in20,m33
m26,m34
in14,m34
in19,m35
m25,m35
in13,m36
in12,m36
m27,m37
in18,m37
m29,m38
m26,m38
m32,m39
in21,m39
in20,m40
in22,m40
m28,m41
in22,m41
in24,m42
in20,m42
m39,m43
in19,m43
in20,m44
m39,m44
m40,m45
m28,m45
m26,m46
m28,m46
m39,m47
m36,m47
m27,m48
m33,m48
m41,m49
m34,m49
m34,m50
m31,m50
m38,m51
m43,m51
m48,m52
m49,m52
m34,m53
m30,m53
m38,m54
m33,m54
m43,m55
m36,m55
m45,m56
m53,m56
m46,m57
m51,m57
m34,m58
m37,m58
m58,m59
m42,m59
m51,m60
m43,m60
m55,m61
m38,m61
m58,m62
m52,m62
m47,m63
m43,m63
m46,m64
m59,m64
m49,m65
m44,m65
m52,m66
m60,m66
m46,m67
m60,m67
m56,m68
m56,m68
m63,m69
m67,m69
m49,m70
m46,m70
m62,m71
m57,m71
m71,m72
m57,m72
m65,m73
m56,m73
m62,m74
m51,m74
m62,m75
m57,m75
m71,m76
m62,m76
m62,m77
m67,m77
m65,m78
m66,m78
m74,m79
m69,m79
m79,m80
m76,m80
m69,m81
m65,m81
m77,m82
m71,m82
m80,m83
m62,m83
m83,m84
m77,m84
m77,m85
m74,m85
m63,m86
m64,m86
m78,m87
m77,m87
m67,m88
m84,m88
m77,m89
m86,m89
m81,m90
m71,m90
m74,m91
m73,m91
m69,m92
m87,m92
m77,m93
m74,m93
m70,m94
m76,m94
m93,m95
m89,m95
m83,m96
m80,m96
m94,m97
m74,m97
m90,m98
m82,m98
m93,m99
m82,m99
m83,m100
m88,m100
m84,m101
m95,m101
m79,m102
m79,m102
m98,m103
m88,m103
m91,m104
m84,m104
m95,m105
m82,m105
m89,m106
m98,m106
m89,m107
m97,m107
m86,m108
m105,m108
m101,m109
m85,m109
m103,m110
m95,m110
m108,m111
m103,m111
m109,m112
m88,m112
m110,m113
m89,m113
m94,m114
m108,m114
m103,m115
m96,m115
m99,m116
m106,m116
m108,m117
m102,m117
m103,m118
m104,m118
m111,m119
m105,m119
m96,m120
m116,m120
m115,m121
m116,m121
m101,m122
m120,m122
m117,m123
m108,m123
m111,m124
m119,m124
m104,m125
m115,m125
m102,m126
m108,m126
m117,m127
m107,m127
m123,m128
m109,m128
m125,m129
m114,m129
m117,m130
m128,m130
m128,m131
m115,m131
m123,m132
m125,m132
m115,m133
m129,m133
m114,m134
m132,m134
m121,m135
m117,m135
m135,m136
m132,m136
m122,m137
m120,m137
m136,m138
m134,m138
m118,m139
m121,m139
m119,m140
m120,m140
m121,m141
m123,m141
m127,m142
m123,m142
m120,m143
m139,m143
m124,m144
m135,m144
m128,m145
m132,m145
m124,m146
m143,m146
m130,m147
m141,m147
m146,m148
m136,m148
m148,m149
m145,m149
m142,m150
m145,m150
m139,m151
m145,m151
m136,m152
m133,m152
m145,m153
m141,m153
m132,m154
m138,m154
m152,m155
m132,m155
m132,m156
m138,m156
m143,m157
m137,m157
m151,m158
m150,m158
m148,m159
m145,m159
m158,m160
m140,m160
m141,m161
m157,m161
m150,m162
m156,m162
m161,m163
m152,m163
m157,m164
m150,m164
m149,m165
m143,m165
m152,m166
m147,m166
m165,m167
m157,m167
m144,m168
m163,m168
m168,m169
m146,m169
m167,m170
m163,m170
m166,m171
m155,m171
m164,m172
m165,m172
m156,m173
m155,m173
m165,m174
m150,m174
m155,m175
m154,m175
m170,m176
m169,m176
m173,m177
m165,m177
m170,m178
m176,m178
m169,m179
m168,m179
m164,m180
m171,m180
m171,m181
m175,m181
m181,m182
m170,m182
m165,m183
m174,m183
m174,m184
m160,m184
m162,m185
m183,m185
m175,m186
m182,m186
m164,m187
m186,m187
m175,m188
m171,m188
m184,m189
m169,m189
m180,m190
m175,m190
m184,m191
m186,m191
m168,m192
m189,m192
m171,m193
m186,m193
m193,m194
m186,m194
m181,m195
m182,m195
m183,m196
m195,m196
m190,m197
m180,m197
m188,m198
m185,m198
m189,m199
m195,m199
m35,o200
m50,o201
m54,o202
m61,o203
m68,o204
m72,o205
m75,o206
m92,o207
m100,o208
m112,o209
m113,o210
m126,o211
m131,o212
m153,o213
m159,o214
m172,o215
m177,o216
m178,o217
m179,o218
m187,o219
m191,o220
m192,o221
m194,o222
m196,o223
m197,o224
m198,o225
m199,o226
