source,target
in1,m8
in2,m8
in3,m9
in4,m9
m8,m10
in7,m10
m9,m11
m8,m11
m8,m12
m9,m12
m9,m13
in7,m13
m10,m14
m11,m14
m10,m15
m10,m15
m12,m16
m13,m16
m11,m17
m15,m17
m15,m18
m16,m18
m12,m19
m13,m19
m16,m20
m16,m20
m20,m21
m17,m21
m17,m22
m15,m22
m19,m23
m16,m23
m22,m24
m22,m24
m21,m25
m20,m25
m24,m26
m24,m26
m23,m27
m26,m27
m26,m28
m27,m28
m22,m29
m24,m29
m26,m30
m29,m30
m30,m31
m25,m31
m27,m32
m31,m32
m26,m33
m32,m33
m30,m34
m33,m34
m32,m35
m33,m35
m33,m36
m33,m36
m34,m37
m33,m37
m35,m38
m37,m38
m33,m39
m34,m39
m34,m40
m39,m40
m40,m41
m38,m41
m36,m42
m36,m42
m41,m43
m39,m43
m43,m44
m42,m44
m40,m45
m41,m45
m40,m46
m39,m46
m40,m47
m44,m47
m42,m48
m42,m48
m46,m49
m43,m49
m46,m50
m43,m50
m50,m51
m44,m51
m47,m52
m46,m52
m51,m53
m47,m53
m50,m54
m53,m54
m51,m55
m52,m55
m54,m56
m49,m56
m54,m57
m52,m57
m52,m58
m51,m58
m55,m59
m56,m59
m59,m60
m56,m60
m58,m61
m54,m61
m55,m62
m60,m62
m61,m63
m58,m63
m57,m64
m60,m64
m59,m65
m59,m65
m59,m66
m65,m66
m60,m67
m64,m67
m63,m68
m64,m68
m65,m69
m67,m69
m65,m70
m63,m70
m68,m71
m64,m71
m67,m72
m67,m72
m14,o73
m18,o74
m28,o75
m45,o76
m48,o77
m62,o78
m66,o79
m69,o80
m70,o81
m71,o82
m72,o83
