source,target
in2,m6
in2,m6
in3,m7
in4,m7
m6,m8
in5,m8
m8,m9
in4,m9
m9,m10
m6,m10
m10,m11
m9,m11
m8,m12
m7,m12
m12,m13
m12,m13
m9,m14
m10,m14
m10,m15
m14,m15
m12,m16
m12,m16
m12,m17
m12,m17
m16,m18
m17,m18
m18,m19
m17,m19
m19,m20
m19,m20
m18,m21
m20,m21
m18,m22
m19,m22
m20,m23
m21,m23
m23,m24
m22,m24
m20,m25
m20,m25
m24,m26
m24,m26
m23,m27
m22,m27
m27,m28
m23,m28
m24,m29
m25,m29
m28,m30
m29,m30
m27,m31
m30,m31
m30,m32
m28,m32
m29,m33
m29,m33
m32,m34
m31,m34
m30,m35
m30,m35
m35,m36
m34,m36
m35,m37
m32,m37
m33,m38
m33,m38
m37,m39
m38,m39
m37,m40
m38,m40
m37,m41
m37,m41
m38,m42
m40,m42
m39,m43
m38,m43
m41,m44
m40,m44
m44,m45
m43,m45
m43,m46
m45,m46
m44,m47
m43,m47
m47,m48
m44,m48
m44,m49
m44,m49
m11,o50
m13,o51
m15,o52
m26,o53
m36,o54
m42,o55
m46,o56
m48,o57
m49,o58
