source,target
in13,m19
in6,m19
in11,m20
in10,m20
in8,m21
in15,m21
m20,m22
in6,m22
in13,m23
in14,m23
in6,m24
in18,m24
in10,m25
in17,m25
m21,m26
in10,m26
in10,m27
in16,m27
in12,m28
in10,m28
m22,m29
m28,m29
in18,m30
in12,m30
m22,m31
in18,m31
m25,m32
m26,m32
m22,m33
m29,m33
m21,m34
m27,m34
m30,m35
m27,m35
m29,m36
m23,m36
m26,m37
m25,m37
m20,m38
m35,m38
m23,m39
m37,m39
m32,m40
m22,m40
m29,m41
m34,m41
m27,m42
m34,m42
m35,m43
m26,m43
m36,m44
m29,m44
m41,m45
m36,m45
m34,m46
m29,m46
m33,m47
m42,m47
m44,m48
m31,m48
m38,m49
m46,m49
m38,m50
m43,m50
m43,m51
m35,m51
m40,m52
m34,m52
m38,m53
m47,m53
m53,m54
m37,m54
m41,m55
m39,m55
m42,m56
m38,m56
m51,m57
m41,m57
m51,m58
m44,m58
m54,m59
m54,m59
m50,m60
m47,m60
m54,m61
m47,m61
m53,m62
m44,m62
m46,m63
m59,m63
m51,m64
m51,m64
m54,m65
m61,m65
m49,m66
m63,m66
m53,m67
m49,m67
m54,m68
m62,m68
m56,m69
m60,m69
m61,m70
m65,m70
m64,m71
m70,m71
m63,m72
m64,m72
m59,m73
m60,m73
m56,m74
m59,m74
m69,m75
m66,m75
m60,m76
m68,m76
m74,m77
m75,m77
m68,m78
m72,m78
m76,m79
m61,m79
m68,m80
m73,m80
m78,m81
m70,m81
m73,m82
m74,m82
m70,m83
m76,m83
m74,m84
m83,m84
m76,m85
m84,m85
m72,m86
m84,m86
m85,m87
m81,m87
m87,m88
m79,m88
m79,m89
m71,m89
m86,m90
m81,m90
m86,m91
m77,m91
m80,m92
m79,m92
m84,m93
m76,m93
m87,m94
m85,m94
m78,m95
m83,m95
m93,m96
m83,m96
m84,m97
m91,m97
m97,m98
m83,m98
m87,m99
m98,m99
m99,m100
m96,m100
m92,m101
m97,m101
m96,m102
m84,m102
m93,m103
m91,m103
m89,m104
m97,m104
m102,m105
m92,m105
m90,m106
m97,m106
m89,m107
m97,m107
m92,m108
m93,m108
m98,m109
m98,m109
m107,m110
m108,m110
m106,m111
m93,m111
m97,m112
m96,m112
m104,m113
m103,m113
m112,m114
m108,m114
m112,m115
m101,m115
m103,m116
m103,m116
m110,m117
m116,m117
m100,m118
m115,m118
m108,m119
m106,m119
m103,m120
m115,m120
m117,m121
m105,m121
m112,m122
m105,m122
m120,m123
m122,m123
m115,m124
m111,m124
m122,m125
m117,m125
m123,m126
m123,m126
m124,m127
m122,m127
m113,m128
m110,m128
m124,m129
m128,m129
m116,m130
m123,m130
m120,m131
m117,m131
m126,m132
m119,m132
m132,m133
m116,m133
m126,m134
m117,m134
m134,m135
m130,m135
m120,m136
m128,m136
m135,m137
m120,m137
m123,m138
m134,m138
m135,m139
m127,m139
m133,m140
m125,m140
m129,m141
m126,m141
m130,m142
m137,m142
m135,m143
m133,m143
m127,m144
m142,m144
m142,m145
m129,m145
m140,m146
m135,m146
m131,m147
m141,m147
m135,m148
m141,m148
m141,m149
m139,m149
m144,m150
m135,m150
m134,m151
m133,m151
m143,m152
m143,m152
m141,m153
m139,m153
m148,m154
m144,m154
m140,m155
m150,m155
m153,m156
m149,m156
m145,m157
m145,m157
m143,m158
m155,m158
m154,m159
m151,m159
m157,m160
m151,m160
m149,m161
m160,m161
m156,m162
m145,m162
m148,m163
m158,m163
m156,m164
m162,m164
m153,m165
m159,m165
m156,m166
m152,m166
m157,m167
m163,m167
m159,m168
m153,m168
m165,m169
m156,m169
m152,m170
m167,m170
m158,m171
m162,m171
m167,m172
m162,m172
m157,m173
m168,m173
m172,m174
m164,m174
m170,m175
m168,m175
m163,m176
m172,m176
m170,m177
m172,m177
m167,m178
m162,m178
m165,m179
m177,m179
m168,m180
m177,m180
m177,m181
m180,m181
m165,m182
m175,m182
m180,m183
m168,m183
m180,m184
m180,m184
m175,m185
m182,m185
m182,m186
m174,m186
m184,m187
m181,m187
m172,m188
m182,m188
m178,m189
m178,m189
m187,m190
m174,m190
m189,m191
m173,m191
m189,m192
m185,m192
m190,m193
m176,m193
m189,m194
m191,m194
m187,m195
m180,m195
m181,m196
m186,m196
m189,m197
m188,m197
m190,m198
m196,m198
m196,m199
m197,m199
m190,m200
m198,m200
m199,m201
m189,m201
m195,m202
m196,m202
m191,m203
m197,m203
m19,o204
m24,o205
m45,o206
m48,o207
m52,o208
m55,o209
m57,o210
m58,o211
m67,o212
m82,o213
m88,o214
m94,o215
m95,o216
m109,o217
m114,o218
m118,o219
m121,o220
m136,o221
m138,o222
m146,o223
m147,o224
m161,o225
m166,o226
m169,o227
m171,o228
m179,o229
m183,o230
m192,o231
m193,o232
m194,o233
m200,o234
m201,o235
m202,o236
m203,o237
